country,gpg
Australia,11.7
Austria,19.9
Belgium,5.8
Bulgaria,14.1
Canada,17.6
Chile,12.5
Croatia,11.5
Cyprus,10.1
Czechia,18.9
Denmark,14.0
Estonia,21.7
Finland,16.6
France,16.5
Germany,19.2
Greece,10.4
Hungary,18.2
Iceland,13.8
Ireland,11.3
Israel,22.7
Italy,4.7
Japan,23.5
Korea,32.5
Latvia,21.2
Lithuania,13.3
Luxembourg,1.3
Malta,11.6
Mexico,18.8
Netherlands,14.6
Norway,13.2
Poland,8.5
Portugal,10.6
Romania,3.3
Serbia,9.6
Singapore,16.3
Slovakia,18.4
Slovenia,7.9
Spain,11.9
Sweden,11.8
Switzerland,18.3
UK,17.4
USA,18.5
