employer,avg_gpg
abellio,17.2
abf,-7
accenture,17.4
admiral group,12.8
airbus,2.3
aldi,10.3
alliance healthcare management services limited,6.9
amazon,1.1
anchor hanover group,21
angard staffing solutions limited,-5.6
anglian water services limited,5.7
apple,3
argos,7.2
arnold clark automobiles limited,4.2
asda,8.4
astrazeneca,11.2
atkins limited,19.6
avon and somerset police,9.4
b&m retail limited,7.5
b&q,9.5
bae systems (operations) limited,8.2
bae systems marine limited,9.7
bae systems,18.4
bae systems surface ships limited,3.6
balfour beatty,15.4
barclays,42.1
barclays bank uk plc,24.5
barclays execution services limited,22
barnardo's,13.8
barts health nhs trust,17.5
bdo services limited,16.1
bdw trading limited,4.5
bolton n h s foundation trust,29.4
booker limited,10.4
boots,18.5
bournemouth christchurch & poole council,1.7
bp,3.6
bright horizons family solutions limited,33.1
brighton and sussex university hospitals nhs trust,16.3
bbc,6.3
british gas,29.1
british gas trading limited,31.9
bt,11.5
british transport police,7.9
buckinghamshire healthcare nhs trust,29.9
busy bees nurseries limited,23.6
cadent gas limited,16.5
caerphilly county borough council,-8
calderdale & huddersfield n h s,30.9
capgemini,18.4
cardiff university,18.9
central england co-operative limited,13.2
cera care operations holdings limited,-37.5
cgi it uk limited,9.3
city of bradford metropolitan district council,6.1
city of london corporation,5.6
clipper logistics plc,14.8
clydesdale bank plc,30.6
colt technology services,19.4
compass group uk and ireland limited,15.4
cornwall council,6.2
countess of chester hospital nhs ft,28
countrywide estate agents,39.4
countrywide limited,46.7
crown prosecution service,11.7
david lloyd leisure limited,11.4
db group services (uk) limited,32.2
deloitte,16.7
department for business energy & industrial strategy,10.2
department for education,3.9
department for transport,15.2
department for work and pensions,5.4
department for environment food and rural affairs,7.2
derbyshire county council,10.4
diligenta limited,14.8
dl insurance services limited,17.2
dsg retail limited,6.1
dudley metropolitan borough council,10
eon,10.9
east kent hospitals university nhs foundation trust,32.7
east riding of yorkshire council,6.5
east sussex healthcare nhs trust,21.4
edf,26
edf energy nuclear generation limited,15.6
ee limited,7
elior uk plc,15.7
engie services limited,22.3
enterprise renat-a-car,18.1
environment agency,1.4
ey,15.3
essex police,11.2
euro car parts limited,10.1
fdm group limited,0.4
fedex,2.2
first greater western limited,21.7
first mtr south western trains limited,15.3
foreign & commonwealth office,6.5
fujitsu,12.3
gchq,11.7
generate fs limited,2.4
gist limited,5
glaxosmithkline,1.8
google,17
govia thameslink railway limited,22.4
great western hospitals nhs foundation trust,29.7
greater manchester police,10.2
greencore food to go limited,7
greene king retail services limited,3.4
greene king services limited,13.6
h m government cabinet office,10.5
h&m,2.1
hampshire constabulary,11.2
hampshire county council,15.8
hampshire hospitals nhs foundation trust,24.3
hays,10.6
hbos,26.3
her majesty's land registry,8.5
highways england company limited,5.8
hm revenue and customs (hmrc),4.8
home office,8.2
howden joinery limited,7.6
hsbc global services (uk) limited,28.9
hsbc group management services limited,31.7
hsbc,32.9
hull university teaching hospitals nhs trust,29.2
imperial college healthcare nhs trust,16.8
imperial college,17.2
independent clinical services limited,-3.6
jd wetherspoon,28.6
jacobs u.k. limited,24.7
jaguar land rover,-1.4
john lewis,10.4
johnsons textile services limited,8.3
jpmorgan,22.1
kent county council,12.7
kent police,13.3
king's college london,17.1
kingston upon hull city council,8.3
kirklees council,9.8
ladbrokes,12.3
lancashire care nhs foundation trust,12
lancashire constabulary,14.7
lancashire county council,12.4
leeds beckett university,10.6
leeds city council,6
leeds teaching hospitals nhs trust,24.8
leicestershire county council,10
leicestershire partnership nhs trust,14.9
leonardo uk ltd,13.3
heathrow airport,8.8
lidl,6.6
lincolnshire county council,5.9
liverpool university hospitals nhs foundation trust,32.5
lloyds bank,33.5
lloyds banking group plc,30.5
lloyds pharmacy,25.9
london general transport services limited,5.7
mace limited,33.5
mace macro limited,18.2
manchester city council,8
manchester university nhs foundation trust,26
marks and spencer,12.3
marsh services limited,34.8
martin mccoll limited,7.5
methodist homes,5.1
ministry of defence,9.1
ministry of justice,5.8
mitchells & butlers retail (no 2) limited,0
mitchells & butlers,-3.5
morgan sindall group plc,33.7
moto hospitality limited,16.9
mott macdonald limited,16.4
nando's,6.3
natwest,30.2
nationwide building society,28.3
network rail infrastructure limited,9.4
