employer,avg_gpg
Abellio,17.2
ABF,-7
Accenture,17.4
Admiral Group,12.8
Airbus,2.3
ALDI,10.3
ALLIANCE HEALTHCARE MANAGEMENT SERVICES LIMITED,6.9
Amazon,1.1
ANCHOR HANOVER GROUP,21
ANGARD STAFFING SOLUTIONS LIMITED,-5.6
ANGLIAN WATER SERVICES LIMITED,5.7
Apple,3
Argos,7.2
ARNOLD CLARK AUTOMOBILES LIMITED,4.2
ASDA,8.4
AstraZeneca,11.2
ATKINS LIMITED,19.6
Avon and Somerset Police,9.4
B & M RETAIL LIMITED,7.5
B&Q LIMITED,9.5
BAE SYSTEMS (OPERATIONS) LIMITED,8.2
BAE SYSTEMS MARINE LIMITED,9.7
BAE SYSTEMS,18.4
BAE SYSTEMS SURFACE SHIPS LIMITED,3.6
Balfour Beatty,15.4
Barclays,42.1
BARCLAYS BANK UK PLC,24.5
BARCLAYS EXECUTION SERVICES LIMITED,22
BARNARDO'S,13.8
Barts Health Nhs Trust,17.5
BDO SERVICES LIMITED,16.1
BDW TRADING LIMITED,4.5
Bolton N H S Foundation Trust,29.4
BOOKER LIMITED,10.4
Boots,18.5
Bournemouth Christchurch & Poole Council,1.7
BP,3.6
BRIGHT HORIZONS FAMILY SOLUTIONS LIMITED,33.1
Brighton and Sussex University Hospitals NHS Trust,16.3
BBC,6.3
British Gas,29.1
BRITISH GAS TRADING LIMITED,31.9
BT,11.5
British Transport Police,7.9
Buckinghamshire Healthcare NHS Trust,29.9
BUSY BEES NURSERIES LIMITED,23.6
CADENT GAS LIMITED,16.5
Caerphilly County Borough Council,-8
Calderdale & Huddersfield N H S,30.9
CapGemini,18.4
CARDIFF UNIVERSITY,18.9
CENTRAL ENGLAND CO-OPERATIVE LIMITED,13.2
CERA CARE OPERATIONS HOLDINGS LIMITED,-37.5
CGI IT UK LIMITED,9.3
City Of Bradford Metropolitan District Council,6.1
City of London Corporation,5.6
CLIPPER LOGISTICS PLC,14.8
CLYDESDALE BANK PLC,30.6
COLT TECHNOLOGY SERVICES,19.4
COMPASS GROUP UK AND IRELAND LIMITED,15.4
Cornwall Council,6.2
Countess of Chester Hospital NHS FT,28
COUNTRYWIDE ESTATE AGENTS,39.4
COUNTRYWIDE LIMITED,46.7
Crown Prosecution Service,11.7
DAVID LLOYD LEISURE LIMITED,11.4
DB GROUP SERVICES (UK) LIMITED,32.2
Deloitte,16.7
Department for Business Energy & Industrial Strategy,10.2
Department for Education,3.9
Department For Transport,15.2
Department for Work And Pensions,5.4
Department for Environment Food and Rural Affairs,7.2
Derbyshire County Council,10.4
DILIGENTA LIMITED,14.8
DL INSURANCE SERVICES LIMITED,17.2
DSG RETAIL LIMITED,6.1
Dudley Metropolitan Borough Council,10
EON,10.9
East Kent Hospitals University Nhs Foundation Trust,32.7
East Riding of Yorkshire Council,6.5
East Sussex Healthcare NHS Trust,21.4
EDF,26
EDF ENERGY NUCLEAR GENERATION LIMITED,15.6
EE LIMITED,7
ELIOR UK PLC,15.7
ENGIE SERVICES LIMITED,22.3
Enterprise Renat-A-Car,18.1
Environment Agency,1.4
EY,15.3
Essex Police,11.2
EURO CAR PARTS LIMITED,10.1
FDM GROUP LIMITED,0.4
FedEx,2.2
FIRST GREATER WESTERN LIMITED,21.7
FIRST MTR SOUTH WESTERN TRAINS LIMITED,15.3
Foreign & Commonwealth Office,6.5
Fujitsu,12.3
GCHQ,11.7
GENERATE FS LIMITED,2.4
GIST LIMITED,5
GlaxoSmithKline,1.8
Google,17
GOVIA THAMESLINK RAILWAY LIMITED,22.4
GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,29.7
Greater Manchester Police,10.2
GREENCORE FOOD TO GO LIMITED,7
GREENE KING RETAIL SERVICES LIMITED,3.4
GREENE KING SERVICES LIMITED,13.6
H M Government Cabinet Office,10.5
H&M,2.1
Hampshire Constabulary,11.2
Hampshire County Council,15.8
Hampshire Hospitals Nhs Foundation Trust,24.3
Hays,10.6
HBOS,26.3
Her Majesty's Land Registry,8.5
HIGHWAYS ENGLAND COMPANY LIMITED,5.8
HM Revenue and Customs (HMRC),4.8
Home Office,8.2
HOWDEN JOINERY LIMITED,7.6
